id,title,author,age,annotation
groza,Гроза,А.Н.Островский,12+,"В одной из самых известных русских пьес действие разворачивается в вымышленном провинциальном городе. Тут живет патриархальная купеческая семья Кабановых. Молодая невестка Катерина страдает от жестокого обращения свекрови и безразличия мужа. Она привыкла к любящей атмосфере, которая была в ее семье до замужества. Катерина влюбляется в другого мужчину, тайно с ним встречается, но, не выдержав концентрации лжи, признается мужу в присутствии свекрови. Выход из положения Катерина находит лишь один…Критик-современник Николай Добролюбов назвал героиню «лучом света в темном царстве» - она мыслила шире, чем закостенелое общество, осмелилась жить, как требовало сердце, а не обстоятельства."
bespridannica,Бесприданница,А.Н.Островский,12+,"Еще одна остросоциальная пьеса Островского поднимает важнейший вопрос брака по расчету. Красавица Лариса пользуется большим успехом у мужчин, вот только у девушки, живущей с вдовствующей матерью, совершенно нет приданого. В поисках подходящей партии мать принимает в доме самых разных гостей-мужчин и дочь уже готова выйти замуж за первого встречного... Лариса влюблена в богатого судовладельца Паратова, и он, не в силах устоять, проводит с ней ночь, но на утро говорит, что у него уже есть другая, богатая невеста. Чтобы спасти честь Ларисы, купцы из гостей ее матери подкидывают монетку - кто увезет ее из города.Пьеса была прохладно встречена критиками - они считали, что это просто очередная работа о «глупенькой обольщенной девице». Однако работа повлияла на всю русскую драматургию благодаря сильной женской фигуре, которая не побоялась идти против общества, и живописанию общества мужчин, забывших про честь и достоинство. Постановка пьесы в театрах Москвы и Петербурга имела большой успех, также по мотивам драмы снят фильм “Жестокий романс” Эльдара Рязанова."
ledi_macbet,Леди Макбет Мценского уезда,Н.С.Лесков,16+,"Эта повесть о молодой купчихе Катерине Измайловой, живущей в Мценском уезде Орловской области. Ее муж постоянно в разъездах по работе, а она одна скучает в богатом доме. Катерина влюбляется в красавца-приказчика (продавца) Сергея, у них бурный роман, о котором случайно узнает свекр... Чтобы спасти возлюбленного Катерина решается на убийство, к тому же не одно.Критики-современники были в восторге от того, как Лесков изобразил «темноту» купеческого быта, в какой «трагический лубок» превратилось его красочное описание этой жизни, завязанной на деньгах и страстях."
levsha,Левша,Н.С.Лесков,12+,"Русский царь совершает визит в Англию, где ему показывают настоящее чудо инженерии - стальную блоху, созданную в натуральную (то есть очень маленькую) величину. В России задумались, чем бы эдаким удивить англичан в ответ. И тогда косой левша, мастер тульского оружейного завода, смог сделать невероятное - подковать блоху. Левше дают награды, а он на радостях напивается так, что умирает.Во времена Лескова пьянство было всероссийским бичом, и эта печальная повесть проливает свет на «русский» характер."
prestuplenie_i_nakazanie,Преступление и наказание,Ф.М.Достоевский,12+,"Бедный студент Родион Раскольников еле сводит концы с концами и вынужден брать  деньги в долг у старухи-процентщицы. Устав от нищенской жизни, он задается философским вопросом - тварь ли я дрожащая? Чтобы доказать самому себе, что это не так и что он сам вершит свою судьбу, решается на преступление - убить старуху…Достоевский рассуждает о природе насилия, о том, в какие обстоятельства может жизнь поставить человека, что он вынужден будет пойти на крайние меры - убийство или проституцию, как это сделала возлюбленная героя Соня Мармеладова. Роман еще и важное высказывание о поисках смысла жизни."
idiot,Идиот,Ф.М.Достоевский,12+,"Достоевскому обычно удавались образы порочных и аморальных людей, но в этом романе он решил показать не просто положительного персонажа, а едва ли не идеального человека с чертами практически Иисуса Христа. Князь Мышкин - очень наивный, доверчивый и непосредственный, оказывается в центре водоворота страстей, но среди лгунов и пьяниц он не теряет себя. И даже в женщине, которую все считают падшей, герой пытается найти самые прекрасные черты и проникается к ней искренней симпатией."
besy,Бесы,Ф.М.Достоевский,16+,"По сюжету, с возвращением из-за границы демонического красавца Ставрогина, в губернском городе начинаются непонятные поджоги и убийства, а также политические интриги… Это один из самых злободневных романов Достоевского, и его реакция на новые радикально-демократические настроения в России. В те годы появляется несколько террористических группировок и революционные идеи идут в общество. Глубоко верующий патриот Достоевский остро переживал все это, обвинял западников и нигилистов."
bratya_karamazovy,Братья Карамазовы,Ф.М.Достоевский,16+,"Один из самых важных романов Достоевского и квинтэссенция его размышлений о вере, морали, долге и любви. Эта поразительная история имеет форму детектива. Сюжет автор подсмотрел в криминальных сводках - один из трех сыновей обвинялся в убийстве отца. В деле замешан и денежный вопрос, и щекотливый любовный - якобы сын и отец не поделили юную красавицу. В романе писатель приводит обширную сцену суда и речей свидетелей и держит читателя в напряжении до конца."
istoriya_odnogo_goroda,История одного города,М.Е.Салтыков-Щедрин,12+,"В этой летописи вымышленного города Глупова, автор пишет сатиру на всю Россию и на ее историю. Это роман-хроника о правлении нескольких градоначальников. Все они взяточники, невежды и грешники. Чтобы вызвать максимальное отвращение у читателя, автор придает всем гротескные черты и активно использует аллегории и фантасмагорию в сюжете."
gospoda_golovlevy,Господа Головлевы,М.Е.Салтыков-Щедрин,12+,"Совершенно беспощадный к своим персонажам, Салтыков-Щедрин рисует беспросветную картину помещичьей жизни. Это роман об обнищании и гибели одной дворянской семьи, а на самом деле и всего русского дворянства. Автор представляет совсем другое «дворянское гнездо», не идиллический бастион семейных ценностей, но тлен и опустошение помещичьей жизни, а также апатию и лицемерие. Возможно, это первый пример в литературе столь «токсичных», как бы сейчас сказали, отношений внутри семьи. Властная вспыльчивая мать, сын-бездельник, прокутивший все деньги, сбежавшая с гусаром дочь... Роман был с восторгом встречен современниками."
komu_na_rusi,Кому на Руси жить хорошо,Н.А.Некрасов,16+,"Поэма вполне себе гомеровского толка, но основанная на русском фольклоре. Семеро мужиков спорят о том, кому на Руси вольготно и хорошо живется - священнику, купцу, богатому помещику или царю? Они отправляются в странствие на поиски счастливых людей… Но найдут ли они таковых? Поэму не пропускала царская цензура и Некрасову приходилось вносить правки и бороться за каждое слово - произведение обличает ужасное бедственное положение крестьян, критикует крепостное право (как и реформу по его отмене, которая и помещикам, и крестьянам сделала только хуже). Заботила Некрасова и судьба русских женщин - и их нелегкая доля очень красочно описана в произведении."
tri_sestry,Три сестры,А.П.Чехов,12+," Три сестры - девушки прогрессивных взглядов, их отец умер, и они живут с братом и принимают гостей. Они строят планы - уехать в Москву из провинциального города, работать, заниматься достойными делами. Однако, их возвышенные мечты так и остаются лишь мечтами, а разговоры - разговорами..."
vishnevy_sad,Вишневый сад,А.П.Чехов,12+,"Обедневшая помещица Раневская вынуждена продать за долги свой дом с чудесным вишневым садом. К ужасу героини, находится покупатель, который предлагает вырубить сад, а землю поделить и сдавать дачникам. Пьеса, заканчивающаяся стуком топоров в саду,  - о гибели дворянской жизни. Новый мир и уклад жизни беспощадно наступает на старый."
na_dne,На дне,Максим Горький,16+,"Самая известная пьеса пролетарского писателя Горького и настоящий гимн низшим слоям общества. Прочитав эту драму, Толстой удивленно сказал Горькому: «Зачем вы это пишете?» Он не мог представить, что публике будет интересна пьеса о ночном приюте для бездомных, где показаны без купюр проститутки и алкоголики."
mat,Мать,Максим Горький,12+,"Роман о революции и рабочем движении. Рабочий с фабрики Павел Власов увлекается революционными идеями, он собирается с друзьями обсуждать социальные вопросы, а также начинает распространять листовки об угнетенном положении пролетариата. Однако Павла арестовывают, и тогда вместо него листовки начинает раздавать его мать..."
my,Мы,Евгений Замятин,16+,"В своей антиутопии Замятин виртуозно описал тоталитарное государство, построенное на принципах тотального контроля над личностью. Действие романа разворачивается в заоблачном будущем, в городе, где всем управляет Часовая Скрижаль, а имена и фамилии индивидуумов, как в концлагере, заменены буквами и номерами, к примеру, Д-503 или О-90. Все граждане, проживающие в Едином Государстве, денно и нощно должны соблюдать строжайшее расписание, и даже занятие любовь строго регламентировано. При всей пугающей реалистичности повествования, в замятинском «Мы» есть место для иронии и аллегории. «Мы идем – одно миллионноголовое тело, и в каждом из нас – та смиренная радость, какою, вероятно, живут молекулы, атомы, фагоциты»."
mitina_lubov,Митина любовь,И.А.Бунин,16+,"В своей щемящей повести о мучительной любви, Бунин рисует психологический портрет Мити, молодого человека с «византийскими глазами», по уши влюбленного в Катю, ученицу частной театральной школы. Как известно, от любви до ревности один шаг (точнее - один выстрел), особенно когда эта любовь безответная, безнадежная, безвозвратная. «Страшнее, привлекательней и загадочней любви нет ничего ни на небе, ни на земле», – писал Бунин. Как же он был прав!"
temnye_allei,Темные аллеи,И.А.Бунин,16+,"Иван Бунин, непревзойденный мастер короткой пластической прозы, оказался самым смелым из всех русских романистов в описании чувственной любви. «Вероятно, у каждого из нас найдется какое-нибудь особенно дорогое любовное воспоминание или какой-нибудь особенно тяжкий любовный грех», - писал он. Бунин вывел страсть, вожделение и любовь на принципиально новый уровень в своем знаменитом сборнике рассказов «Темные аллеи», посвященном закулисью любви, воспитании чувств и коллизии взглядов."
sobachye_serdce,Собачье сердце,М.А.Булгаков,12+,"В центре романа, действие которого разворачивается в середине 1920-х, гениальный хирург-профессор Преображенский, который берется за беспрецедентный эксперимент. Он пересаживает человеческий гипофиз бездомному дворовому псу, который на глазах превращается в ублюдка о двух ногах. Наглости ему не занимать: Полиграф Полиграфович Шариков может пить, курить и ругаться матом не хуже любого заядлого пьянчуги из подворотни, и тут же заселяется в семикомнатную московскую квартиру профессора на правах ее хозяина. Как в скором времени выясняется, «собака бывает кусачей не только от жизни собачьей», но и в силу своей «пониженной социальной ответственности». И хотя, с научной точки зрения, эксперимент профессора имеет феноменальный мировой успех, Булгаков, словно идя по стопам Кафки, предостерегает от подобных «превращений» -- не трогай лихо, пока оно тихо."
belaya_gvardiya,Белая гвардия,М.А.Булгаков,12+,"«Белая гвардия» – не только выдающийся исторический роман, написанный в лучших, толстовских традициях, но еще и «сага о Форсайтах», в которой речь идет о семье русских интеллигентов, а также их друзьях и близких, угодивших в кровавую гущу событий Гражданской войны в конце 1918 года."
master_i_margarita,Мастер и Маргарита,М.А.Булгаков,16+,"Это роман-эпопея о дьяволе, посетившем Москву в 1930-е годы. Сатана в метафизическом произведении Булгакова – фигура амбивалентная, и является «частью той силы, которая вечно желает зла и вечно творит добро». Булгаковский Воланд (Дьявол) противопоставляется новому злу, – бюрократическому, обезличенному, советскому. Единственным спасением в романе, впрочем, как и в жизни, становится ведьминский «полет любви» Маргариты, полный жертвенности и человечности."
tihi_don,Тихий дон,М.А.Шолохов,18+," Грандиозная историческая сага о жизни донских казаков в годы Первой мировой и Гражданской войн, пропитана потом и кровью, бесстыдством и жестокостью, страданием и любострастием."
sudba_cheloveka,Судьба человека,М.А.Шолохов,16+,"Рассказ, повествующий о судьбе русского солдата, которого Великая Отечественная война заставили пройти через страшные испытания, лишив дома и семьи и бросив в концлагерь, стал не только известнейшим произведением на военную тему, но и основой замечательного одноименного фильма с Сергеем Бондарчуком в главной роли. В книгу также вошли главы из неоконченного романа "Они сражались за Родину", с беспощадной правдивостью и глубиной рисующие фронтовые будни и тружеников войны, будь то солдаты или мирные люди. "
priglashenie_na_kazn,Приглашение на казнь,В.В.Набоков,16+,"Несмотря на то что мрачная реальность нацистской Германии отражена в концепции романа, Набоков возражал против его однобокой интерпретации в качестве политического памфлета. Писатель считал «Приглашение на казнь» своим лучшим произведением и «единственным стихотворением в прозе». Как ни крути, факт остается фактом: «Приглашение» – роман о тирании тривиальности, и о том, как бороться с ней с помощью «древнего врожденного искусства – писать»."
dar,Дар,В.В.Набоков,12+," Неслучайно в качестве эпиграфа к «Дару» Набоков взял вроде бы простое упражнение из школьного учебника грамматики. «Дуб — дерево. Роза — цветок. Олень — животное. Воробей — птица. Россия — наше отечество. Смерть неизбежна». Все очевидно: наша жизнь по-прежнему состоит из тысячи противоречивых мелочей, а вневременной набоковский «Дар» — роман о жизни, смерти и непродолжительном промежутке между тем и другим."
doctor_zhivago,Доктор Живаго,Б.Л.Пастернак,12+,"Первая мировая война оказалась для России настоящей катастрофой, похоронила мечты целого поколения. В своем выдающемся модернистском романе «Доктор Живаго» Пастернак широкими мазками изобразил и опустошающую войну, и разрушительную силу революции, и крах надежд, и силу человеческого духа. «Доктор Живаго», пожалуй, самый известный на западе русский роман о ни на что не похожей, сильной как смерть, любви"
molodaya_gvardiya,Молодая гвардия,А.А.Фадеев,16+,"Он посвящён подвигу юных подпольщиков, образовавших тайную партизанскую организацию «Молодая гвардия» в Краснодоне (ныне Украина), воевавшую против фашистов. Почти все члены реальной «Молодой гвардии» были зверски замучены и казнены немцами. Именно о них, собирая реальные свидетельства очевидцев, и писал Фадеев. Однако, когда книга вышла, она была жёстко раскритикована Сталиным – за умаление роли Коммунистической партии в антифашистской борьбе. Фадееву пришлось переписать роман – второе исправленное издание вышло в 1951 году."
arhipelag_gulag,Архипелаг ГУЛАГ,А.И.Солженицын,16+,"Самая известная в мире книга о советских лагерях была написана Солженицыным за 10 лет. Разделенный на 7 частей «Архипелаг» описывает историю и практику создания советской репрессивной системы («ГУЛАГ» – аббревиатура от «Главное управление лагерей»). Основана книга на личных впечатлениях автора, который около восьми лет провел в различных местах заключения, и рассказах более чем 250 заключенных, с которыми он беседовал."
ruslan_i_ludmila,Руслан и Людмила,А.С.Пушкин,12+,"князь Владимир выдаёт свою дочь Людмилу за храброго витязя Руслана, но ночью после свадьбы Людмила таинственным образом исчезает из спальни. Оказывается, её похитил злой волшебник Черномор — карлик с длинной бородой, обладающий магической силой. Владимир в отчаянии обещает отдать Людмилу и полцарства тому, кто вернёт её. Руслан и трое соперников отправляются на поиски"
d_1984,1984,Джордж Оруэлл,16+,"Не может быть ничего хуже тотальной несвободы. "1984" — культовый роман Джорджа Оруэлла, действие которого разворачивается в тоталитарном, бюрократическом государстве, где один человек тщетно пытается бороться за право быть индивидуальной личностью. Текст произведения снабжен грамматическим комментарием и словарем, в который вошли все слова, содержащиеся в тексте. Благодаря этому книга подойдет для любого уровня владения языком"
uliss,Улисс,Джеймс Джойс,18+,"Роман повествует об одном дне дублинского обывателя еврейского происхождения Леопольда Блума (в настоящее время эта дата, 16 июня 1904 года, поклонниками романа отмечается как «день Блума»). Этот день Блум проводит в издательстве, на улицах и в кафе Дублина, на похоронах своего знакомого, на берегу залива, в родильном доме, где он знакомится со Стивеном Дедалом, молодым учителем в местной школе, в притоне и, наконец, в собственном доме, куда он поздно ночью приводит изрядно выпившего Дедала, лишившегося крова. Главной интригой романа является измена жены Блума, о которой Блум знает, но не предпринимает против неё никаких мер."
lolita,Лолита,В.В.Набоков,18+,"Сегодня, когда полемические страсти вокруг "Лолиты" уже давно улеглись, можно уверенно сказать, что это - книга о великой любви, преодолевшей болезнь, смерть и время, любви, разомкнутой в бесконечность, "любви с первого взгляда, с последнего взгляда, с извечного взгляда""
zvuk_i_yarost,Звук и ярость, Уильям Фолкнер,18+,"Роман разделён на четыре главы, каждая из которых описывает историю семьи Компсонов со своей перспективы и в своём времени, первые три из них написаны от лица трёх разных членов этой семьи с использованием техники потока сознания. Фолкнер исследует в романе тему обречённости патриархальной традиции фермерского Юга, распада и дегуманизации его общественных отношений на примере истории упадка одной аристократической семьи. Роман обращается к сложным отношениям, семейным тайнам, распаду ценностей и смене традиций в обществе американского Юга."
na_mayak,На маяк,Вирджиния Вульф,16+,"Изысканный роман, в котором смешиваются и переплетаются времена действия, а лето, проведенное состоятельным семейством Рэмзи на острове Скай оказывается своеобразной британской "хроникой утраченного времени", — хрупкого, почти идиллического времени, обреченному на скорое разрушение Первой мировой войной. Вырастут дети, — кто-то уцелеет и повзрослеет, кто-то сложит голову на полях сражений. Забудутся мелкие неудачи и обиды. Будет заброшен старый дом, зарастет сад. Но воплотится ли в жизнь хоть для кого-то из детей Рэмзи мечта о поездке на далекий маяк?"
iliada,Илиада,Гомер,16+,""Илиада" рассказывает о самых трагических днях Троянской войны, поводом к началу которой послужило похищение прекрасной Елены. Смелым, но смертным героям Ахиллу, Менелаю, Гектору, Парису помогают бессмертные боги."
odisseya,Одиссея,Гомер,12+,""Одиссея" повествует о долгих странствиях хитроумного царя Одиссея, который по окончании Троянской войны возвращается домой на остров Итаку, где его ждут Пенелопа и сын Телемах. По дороге он преодолевает немало препятствий: плен у циклопа Полифема, бурю Эоловых ветров, коварный пролив между Сциллой и Харибдой."
gordost_i_pred,Гордость и предубеждение,Джейн Остин,16+,"Сегодня история заблуждений и прозрения Элизабет Беннет и мистера Дарси известна всем любителям классики. Сама писательница считала свою героиню "самым восхитительным персонажем, который когда-либо появлялся в печати", и все же она была далека от того, чтобы оправдывать ее ошибочные суждения. Джейн Остен со свойственной ей проницательностью неспешно рассказывает историю ложных предположений и гордой предвзятости, чтобы в финале разрушить их благодаря силе любви. Только эта всесокрушающая сила способна открыть героям правду об их собственных чувствах и превратить гордецов в нежных возлюбленных."
bozhestv_comediya,Божественная комедия,Алигьери Данте,16+,""Божественная комедия" – грандиозный памятник поэтической культуры и настоящая энциклопедия средневекового мировоззрения. В ней поэт совершает путешествие через три царства загробного мира и с удивительной наглядностью и ясностью изображения дает живую, запоминающуюся картину происходящего там. Простой народ воспринимал поэму Данте буквально. Боккаччо рассказывал о двух жительницах Вероны, которые, заметив проходившего мимо Данте, обменялись многозначительными репликами. "Посмотри, – сказала одна, – вот тот, кто спускается в Ад и, возвращаясь оттуда, когда пожелает, приносит весть о пребывающих там грешниках. Другая ответила: "Должно быть, ты права: посмотри, как борода его курчава, и лицо его черно от дыма и копоти адского огня". В наши же дни историки и критики до сих пор не прекращают споры о том, чем является это великое произведение: "путеводителем" по загробному миру или попыткой познать непознаваемое, найти рациональное в иррациональном, показать людям путь от мрака и скорби к свету и радости."
amerik_traged,Американская трагедия,Теодор Драйзер,16=,"Как же привлекателен мир богатства, роскоши и развлечений! Но Клайд Грифитс имел несчастье родиться в семье бедных уличных проповедников. С юных лет он мечатает быть среди счастливых преуспевающих людей и иметь их возможности. Клайд рано понял: ничто ему не поможет, если только он сам не сумеет помочь себе. Стремясь занять видное положение в обществе, он заводит роман с 17-летней Сондрой Финчли, богатой наследницей фабриканта. Однако его тяготит любовная связь с простой фабричной работницей Робертой Олден. Девушка беременна и мешает достичь заветной цели — сделать карьеру и обрести красивую жизнь. В отчаянной погоне за успехом Клайд оказывается готов пойти на преступление..."Американская трагедия" — вершина творчества Теодора Драйзера. Непревзойденное изображение суровой реальности и темной стороны американской мечты, исключительное по силе и размаху, не оставляет равнодушным уже несколько поколений читателей."
